"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|NO3","Without sequence","27.71","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|NO3","Without sequence","26.73","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|NO3","Without sequence","26.33","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|NO3","Without sequence","26.27","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|NO3","Without sequence","26.88","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|NO3","Without sequence","27.95","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|NO3","Without sequence","28.26","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|NO3","Without sequence","43.11","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|NO3","Without sequence","47.72","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|NO3","Without sequence","47.96","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|NO3","Without sequence","48.93","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|NO3","Without sequence","48.93","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|NO3","Without sequence","50.28","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|NO3","Without sequence","50.52","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|NO3","Without sequence","50.53","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|NO3","Without sequence","50.97","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|NO3","Without sequence","51.72","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|NO3","Without sequence","49.85","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|NO3","Without sequence","49.83","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|NO3","Without sequence","48.99","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|NO3","Without sequence","48.94","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|NO3","Without sequence","47.0","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|NO3","Without sequence","48.83","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|NO3","Without sequence","45.35","",""
